"Gene","Correlation","Pvalue"
"SOX2",0.183779941598957,2.0695114382639e-05
"PROM1",-0.0196670718751249,0.651452929014674
"NANOG",-0.0666588554176428,0.125353762588827
"POU5F1",-0.211341165458952,9.13028771782664e-07
