"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-1.33746207547169,4.61365273584906,-16.4722543776688,1.62097872222696e-49,3.32786931673194e-45,101.755923771244,"SLC17A9"
-0.731175471698109,8.55540660377359,-15.7366014505897,4.73613709053083e-46,4.86164472342989e-42,93.8628843981781,"ZBTB7B"
-0.958261320754711,8.32514669811321,-15.6783013854273,8.86631261161855e-46,6.0675132638843e-42,93.2427050041803,"CCDC88B"
-1.12460999999999,7.90633575471698,-15.5434914346677,3.76743262102043e-45,1.93363479273873e-41,91.8118286136119,"TCIRG1"
0.617012075471695,7.78871849056604,15.5003126285037,5.9823180174529e-45,2.45633977796616e-41,91.3544848883472,"KIAA1586"
0.636856415094338,7.49429575471698,15.381388311106,2.13264139098046e-44,6.44677848873594e-41,90.0973030605775,"ZNF675"
-0.885586037735844,9.08344849056604,-15.3785547786168,2.19812223191191e-44,6.44677848873594e-41,90.0673932693355,"HMHA1"
-0.912368113207543,8.59727481132076,-15.3006097191781,5.04645855777006e-44,1.29504742738774e-40,89.2454502005429,"SLC24A6"
0.338273018867923,9.61045688679245,15.2247467306464,1.13139229548202e-43,2.52958041734096e-40,88.4469939955208,"TIPRL"
-1.05459075471697,8.28534537735849,-15.2167228271629,1.23213853742862e-43,2.52958041734096e-40,88.3626318169047,"CEBPB"
-1.06937396226415,12.7359122641509,-15.0614272130189,6.39989263642898e-43,1.19445268932625e-39,86.7332880265857,"GSN"
0.3403279245283,10.5432511320755,15.0033607709222,1.1829704891201e-42,2.02386534513631e-39,86.125751218223,"CTCF"
-1.05711999999999,6.35981018867925,-14.9167150801257,2.95346496518378e-42,4.66420274886331e-39,85.2209374129318,"GBGT1"
0.58669188679245,10.728695,14.8677338157039,4.94941736715684e-42,7.25796703912356e-39,84.7103749974693,"GSK3B"
-1.06496433962264,8.61407518867925,-14.8151630239848,8.60751985724349e-42,1.17808255112806e-38,84.1631554691365,"ARHGAP4"
-0.640486226415091,9.4052108490566,-14.7964890686971,1.04751910558326e-41,1.34409795235152e-38,83.9689651135995,"TTC7A"
0.680277547169808,6.51259990566038,14.7782654074655,1.26866595560739e-41,1.53210070991881e-38,83.7795541339873,"LIN9"
-1.3215179245283,10.8112704716981,-14.6278233854659,6.14415693704116e-41,7.0077523287475e-38,82.2195998042069,"NEAT1"
-0.808502830188674,8.7291270754717,-14.6117068737913,7.27252794548167e-41,7.8581578274073e-38,82.052880343291,"ARSA"
0.872541698113202,7.65028594339623,14.541276012228,1.51803861530658e-40,1.5582666386122e-37,81.3252078779057,"PANK1"
-1.84582566037735,10.2333796226415,-14.5324104732296,1.66520058753221e-40,1.62793181247792e-37,81.2337169880483,"ITGB4"
0.625924339622637,9.06011764150943,14.5197592203036,1.90016576684961e-40,1.77320014515557e-37,81.1031992060055,"SPATS2"
0.364949999999997,8.7356829245283,14.5078206827607,2.15212610004294e-40,1.92100647103833e-37,80.980078567837,"TADA1"
-1.16793358490565,8.09608943396226,-14.4952949034697,2.45235713570874e-40,2.09778716650418e-37,80.8509481745244,"UNC93B1"
0.905215283018863,9.43134122641509,14.4777002369421,2.94588907204126e-40,2.41916410596028e-37,80.6696421910515,"TMEM97"
-0.474566792452827,9.48486641509434,-14.414787424887,5.67049677700474e-40,4.4775114935349e-37,80.0221237204986,"KIAA1539"
0.48691113207547,9.71341594339623,14.3794373156348,8.18829666073316e-40,6.22613816462414e-37,79.6588228095074,"TOPBP1"
-1.03617396226414,5.09817943396226,-14.3572730761887,1.0307624376951e-39,7.55769744495728e-37,79.4312331575945,"MFSD7"
-1.11807056603773,3.92192132075472,-14.3155758956967,1.58869680947322e-39,1.12468777580983e-36,79.0034870408909,"OXER1"
-1.25324716981131,6.09192471698113,-14.2807192371361,2.27991998033239e-39,1.56022523987413e-36,78.6463310427407,"CARD9"
0.995198679245277,7.68990726415094,14.2324182828803,3.75864955445622e-39,2.48919597912859e-36,78.1520517773038,"ZNF681"
0.376525094339622,10.6702248113208,14.2113227850284,4.67471480519863e-39,2.99912171721025e-36,77.9364066731685,"TOMM70A"
0.61987547169811,10.6611471698113,14.1979589242437,5.36697872931272e-39,3.21725354440916e-36,77.7998702002388,"OSBPL8"
0.371868301886789,9.87796924528302,14.1971896470825,5.40980370813426e-39,3.21725354440916e-36,77.7920123498928,"SPAST"
-1.07467245283018,7.86856377358491,-14.195856180011,5.48484530220754e-39,3.21725354440916e-36,77.7783919788282,"GSDMD"
0.597122452830184,8.74169254716981,14.1908289804339,5.77720443555378e-39,3.29461130727553e-36,77.7270479927056,"FAM117B"
1.09788867924528,11.1798424528302,14.1734319463092,6.91414313714012e-39,3.83641509744559e-36,77.5494303192721,"LRRN1"
-1.14811792452829,9.15298405660377,-14.1674329370436,7.35584237801527e-39,3.97409063212246e-36,77.4882049966381,"CYBA"
0.44661150943396,9.37204650943396,14.1564817275606,8.23596794772619e-39,4.3354979991492e-36,77.3764677704897,"SRPK1"
0.676174905660374,6.69230330188679,14.1509563202173,8.7191193772843e-39,4.47508802039117e-36,77.3201056384161,"ZNF519"
-0.713816415094335,9.16844424528302,-14.1065407885969,1.3782637086921e-38,6.90140339986554e-36,76.8674008534182,"FADS3"
-1.2379016981132,8.9129491509434,-14.0776114531692,1.85655237287519e-38,9.07500481312561e-36,76.5728824799856,"RHBDF2"
-1.14846132075471,5.77298103773585,-14.0496293088905,2.47590281613349e-38,1.18209964686559e-35,76.2882663795185,"OSCAR"
-1.25569622641509,7.84417264150943,-14.0386074822884,2.77299745478012e-38,1.29385540333263e-35,76.1762298126021,"PARVG"
-0.642561509433959,7.79526679245283,-13.9784480053591,5.14368993908381e-38,2.3466656544309e-35,75.5654140265881,"RILPL2"
0.359368679245281,8.75218811320755,13.9519085516623,6.75277002610896e-38,3.01379062252211e-35,75.2963317430559,"METTL2A"
-1.27320566037735,6.69707981132076,-13.9439526827406,7.32652029446566e-38,3.20028641798681e-35,75.215713131947,"RASAL3"
-0.99070301886792,7.71324283018868,-13.9303106179983,8.42567188749505e-38,3.60373008021403e-35,75.0775240740387,"TNFRSF14"
-1.11582188679245,6.77607509433962,-13.8809633711741,1.39628121148101e-37,5.85013332075615e-35,74.5781742799353,"LYL1"
-1.19890735849056,7.21919122641509,-13.8706151814938,1.55213602320275e-37,6.37307051127047e-35,74.4735635579131,"DEF6"
-0.540911509433958,9.27542009433962,-13.8414899912042,2.09022124264554e-37,8.4141651199045e-35,74.179328400376,"CC2D1B"
-1.25405018867924,8.02593301886792,-13.8390502555421,2.14296247708468e-37,8.46058070279777e-35,74.1546941590072,"CSF3R"
-0.920473584905655,8.64921075471698,-13.8335127602861,2.26764380721827e-37,8.78391082305491e-35,74.0987890264986,"AGTRAP"
0.427132641509431,11.4931644339623,13.8242655591304,2.49217533788219e-37,9.47488142346691e-35,74.005454826161,"SUPT16H"
-1.16000226415094,6.08518679245283,-13.8186710720874,2.6386357683657e-37,9.84930769537235e-35,73.9490024263289,"DENND1C"
0.401831509433959,11.4695848113208,13.7871192132256,3.64053418031775e-37,1.33464583432006e-34,73.6308208277355,"LRPPRC"
-1.30836622641509,3.12792556603774,-13.7559004641192,5.00414471645299e-37,1.80237001804877e-34,73.3163329935752,"TREML1"
0.299584905660377,13.2066173584906,13.736661011663,6.08703298220044e-37,2.15459977800991e-34,73.1226872812131,"MATR3"
-0.689049622641505,9.12702273584906,-13.7130921691955,7.73660518826957e-37,2.69207634771482e-34,72.8856398103405,"IRF3"
-0.412595471698111,11.0335781132075,-13.6998756025948,8.849417903435e-37,3.02797582595868e-34,72.7527959865582,"TFE3"
-0.90965056603773,8.89820301886792,-13.6690584981865,1.2103217770273e-36,3.95715229538461e-34,72.4432788317396,"UBA7"
1.47221452830188,8.47603971698113,13.6688216214299,1.21323674627885e-36,3.95715229538461e-34,72.4409009949528,"TOX3"
0.311418679245281,11.5670900943396,13.6687334624543,1.21432340287009e-36,3.95715229538461e-34,72.4400160348693,"PUM2"
-1.01910660377358,10.0046833018868,-13.6580507003684,1.35344334064579e-36,4.34159246616532e-34,72.3328000415792,"RNASET2"
0.456100377358488,10.9283871698113,13.6488809071912,1.48545872656674e-36,4.69176425483311e-34,72.2408004660197,"MYST2"
-1.0382079245283,8.20011037735849,-13.6256022269717,1.88111763509781e-36,5.78693928558895e-34,72.0073798388329,"STAT5A"
-1.42138358490565,6.34406179245283,-13.6252119179914,1.88857736061597e-36,5.78693928558895e-34,72.0034677382238,"PRAM1"
-1.09858075471697,9.42315603773585,-13.6043672257525,2.33289931802293e-36,7.04329749985451e-34,71.7946172184979,"TRIP6"
-0.728856792452825,8.17330594339623,-13.5949164443111,2.56730717208341e-36,7.63866902070614e-34,71.6999767126901,"PPM1M"
1.09407509433962,10.478528490566,13.5853622991946,2.82813798914164e-36,8.29452470243969e-34,71.6043330823805,"GNG4"
-1.17559886792452,6.91627641509434,-13.5554661905231,3.82740831008958e-36,1.09188498499985e-33,71.3052604146604,"PYCARD"
-0.712909622641506,9.89668669811321,-13.5554171028304,3.82930925085189e-36,1.09188498499985e-33,71.3047696144869,"GAS6"
0.536660754716978,11.2403160377358,13.5528178174352,3.93132313858872e-36,1.10561731555105e-33,71.2787820443102,"SLC39A6"
0.422528490566035,11.3344910377358,13.5389485011627,4.52321440902226e-36,1.24107028592085e-33,71.1401575735269,"NUDT21"
-1.76856641509433,7.67111,-13.5387158364117,4.5338661200226e-36,1.24107028592085e-33,71.1378326606224,"SLC11A1"
-0.995124528301881,7.78038339622641,-13.5134046806913,5.85528114677292e-36,1.58169634135853e-33,70.8850247823356,"WAS"
-1.18580226415094,8.62720301886792,-13.5004915234897,6.67082508110331e-36,1.77859790798767e-33,70.7561360926957,"SPI1"
-0.863364716981126,9.27481311320755,-13.4904229050376,7.38445513932121e-36,1.94362646167006e-33,70.6556806234095,"SIPA1"
-1.09029735849056,6.73416301886792,-13.4741785763688,8.69956084306802e-36,2.23749027117435e-33,70.4936860757784,"ARHGAP9"
0.5909558490566,13.1035518867925,13.4739583124729,8.71890997047969e-36,2.23749027117435e-33,70.4914901715226,"TTC3"
-0.899044905660371,9.3282379245283,-13.4639658031444,9.64331434533347e-36,2.44416350011971e-33,70.3918889230974,"PARP10"
-0.464900943396223,10.2921487735849,-13.4212686529102,1.48269306085096e-35,3.7121571389354e-33,69.9667061045874,"NR1H2"
0.445243207547167,10.1397144339623,13.4085346278322,1.68544579031278e-35,4.16894000905078e-33,69.8400267911574,"XPO5"
-0.717999999999995,8.09363924528302,-13.3775265663626,2.30224723744799e-35,5.62680187914371e-33,69.5318016516663,"ARHGAP27"
0.634161132075468,8.46220094339623,13.3690839211174,2.50611810873351e-35,6.05301232615282e-33,69.4479409787894,"INTS7"
0.724214150943393,10.1393817924528,13.3576992542855,2.80979280917213e-35,6.70756353166325e-33,69.3348984151216,"PGAP1"
0.360286037735847,10.0890920754717,13.3540736719861,2.91399546345265e-35,6.87635940973367e-33,69.2989086057811,"HSDL1"
-1.17056735849056,8.20984801886793,-13.3479692178768,3.09821414651193e-35,7.22799277589657e-33,69.2383228136527,"SH3TC1"
0.262417169811319,11.2372146226415,13.3465793670332,3.14175259663636e-35,7.2472113268477e-33,69.2245306573892,"DDX1"
-0.907422641509428,7.37092641509434,-13.3368855755623,3.46285234108147e-35,7.89915095137806e-33,69.1283541854156,"SERTAD3"
0.782104150943392,9.02771660377359,13.3320456703637,3.63520500468996e-35,8.20118227981152e-33,69.0803481929089,"CKAP2"
