"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120162","positive regulation of cold-induced thermogenesis","3/13","102/18860",0.0294117647058824,42.6696832579186,11.0824788341394,4.22293613192893e-05,0.0140050091404832,0.00711191870415161,"CEBPB/ZBTB7B/STAT6",3
"GO:0035710","CD4-positive, alpha-beta T cell activation","3/13","138/18860",0.0217391304347826,31.5384615384615,9.45628316088122,0.000103896423828642,0.0140050091404832,0.00711191870415161,"CEBPB/ZBTB7B/STAT6",3
"GO:0030879","mammary gland development","3/13","142/18860",0.0211267605633803,30.6500541711809,9.31429166152161,0.000113084997295298,0.0140050091404832,0.00711191870415161,"CEBPB/ZBTB7B/STAT6",3
"GO:0120161","regulation of cold-induced thermogenesis","3/13","151/18860",0.0198675496688742,28.8232297503821,9.01530905117168,0.000135664309599473,0.0140050091404832,0.00711191870415161,"CEBPB/ZBTB7B/STAT6",3
"GO:0106106","cold-induced thermogenesis","3/13","154/18860",0.0194805194805195,28.2617382617383,8.9214065438113,0.000143796187408479,0.0140050091404832,0.00711191870415161,"CEBPB/ZBTB7B/STAT6",3
"GO:0033598","mammary gland epithelial cell proliferation","2/13","28/18860",0.0714285714285714,103.626373626374,14.2724873624604,0.000164121200865037,0.0140050091404832,0.00711191870415161,"CEBPB/STAT6",2
"GO:1990845","adaptive thermogenesis","3/13","171/18860",0.0175438596491228,25.4520917678812,8.43589045096975,0.000195920135980421,0.0143301585174251,0.00727703362212993,"CEBPB/ZBTB7B/STAT6",3
"GO:0001659","temperature homeostasis","3/13","186/18860",0.0161290322580645,23.3995037220844,8.06280362368764,0.000250987039895328,0.016063170553301,0.00815707879659816,"CEBPB/ZBTB7B/STAT6",3
"GO:0046631","alpha-beta T cell activation","3/13","206/18860",0.0145631067961165,21.1277072442121,7.62872258279793,0.000338792994931312,0.0192735570449813,0.00978735318690456,"CEBPB/ZBTB7B/STAT6",3
"GO:0050873","brown fat cell differentiation","2/13","53/18860",0.0377358490566038,54.7460087082729,10.2904479859103,0.000592516732814991,0.0303368567201276,0.0154054350531898,"CEBPB/ZBTB7B",2
"GO:0035176","social behavior","2/13","59/18860",0.0338983050847458,49.1786179921773,9.73418868651715,0.000733987055968594,0.03346883063301,0.0169958905558254,"DSCAM/NLGN3",2
"GO:0051703","biological process involved in intraspecies interaction between organisms","2/13","61/18860",0.0327868852459016,47.5662042875158,9.5670550683447,0.000784425717961173,0.03346883063301,0.0169958905558254,"DSCAM/NLGN3",2
"GO:0070663","regulation of leukocyte proliferation","3/13","284/18860",0.0105633802816901,15.3250270855905,6.38834573192917,0.000863995048948546,0.0340281126970505,0.0172799009789709,"CEBPB/ZBTB7B/STAT6",3
"GO:0045600","positive regulation of fat cell differentiation","2/13","72/18860",0.0277777777777778,40.2991452991453,8.77443111401429,0.00109094933567188,0.0393196282427641,0.0199669987170286,"CEBPB/ZBTB7B",2
"GO:0061180","mammary gland epithelium development","2/13","74/18860",0.027027027027027,39.2099792099792,8.64938827822924,0.00115194223367473,0.0393196282427641,0.0199669987170286,"CEBPB/STAT6",2
"GO:0007162","negative regulation of cell adhesion","3/13","326/18860",0.00920245398773006,13.3506370929684,5.90776855058796,0.00128680817798185,0.0394979761956895,0.0200575660368736,"DSCAM/CEBPB/ZBTB7B",3
"GO:0042130","negative regulation of T cell proliferation","2/13","79/18860",0.0253164556962025,36.7283349561831,8.35750909201618,0.0013114562408725,0.0394979761956895,0.0200575660368736,"CEBPB/ZBTB7B",2
"GO:0070661","leukocyte proliferation","3/13","356/18860",0.00842696629213483,12.2255834053587,5.61579183701562,0.00165706653569386,0.0403057426099503,0.0204677599191154,"CEBPB/ZBTB7B/STAT6",3
"GO:0042093","T-helper cell differentiation","2/13","90/18860",0.0222222222222222,32.2393162393162,7.80190268747137,0.00169749281576282,0.0403057426099503,0.0204677599191154,"ZBTB7B/STAT6",2
"GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","2/13","92/18860",0.0217391304347826,31.5384615384615,7.71155502638074,0.00177282999611884,0.0403057426099503,0.0204677599191154,"ZBTB7B/STAT6",2
"GO:0002287","alpha-beta T cell activation involved in immune response","2/13","93/18860",0.021505376344086,31.1993382961125,7.6674572907591,0.00181108932795657,0.0403057426099503,0.0204677599191154,"ZBTB7B/STAT6",2
"GO:0002293","alpha-beta T cell differentiation involved in immune response","2/13","93/18860",0.021505376344086,31.1993382961125,7.6674572907591,0.00181108932795657,0.0403057426099503,0.0204677599191154,"ZBTB7B/STAT6",2
"GO:0050672","negative regulation of lymphocyte proliferation","2/13","95/18860",0.0210526315789474,30.5425101214575,7.58131955011342,0.00188878709656406,0.0403057426099503,0.0204677599191154,"CEBPB/ZBTB7B",2
"GO:0060996","dendritic spine development","2/13","96/18860",0.0208333333333333,30.224358974359,7.5392438319601,0.00192822458313068,0.0403057426099503,0.0204677599191154,"DSCAM/ABI2",2
"GO:0032945","negative regulation of mononuclear cell proliferation","2/13","97/18860",0.0206185567010309,29.9127676447264,7.49780748192592,0.00196805383837648,0.0403057426099503,0.0204677599191154,"CEBPB/ZBTB7B",2
"GO:0002292","T cell differentiation involved in immune response","2/13","101/18860",0.0198019801980198,28.7281035795887,7.33813849412579,0.00213127906903662,0.0419698032056442,0.0213127906903662,"ZBTB7B/STAT6",2
"GO:0070664","negative regulation of leukocyte proliferation","2/13","105/18860",0.019047619047619,27.6336996336996,7.18749414679731,0.00230073473601269,0.0436287475866109,0.0221552233838259,"CEBPB/ZBTB7B",2
"GO:0035249","synaptic transmission, glutamatergic","2/13","110/18860",0.0181818181818182,26.3776223776224,7.01062162937208,0.00252126989341873,0.0453126055565361,0.0230103075091785,"DSCAM/NLGN3",2
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","2/13","111/18860",0.018018018018018,26.1399861399861,6.97665680775257,0.00256653429910068,0.0453126055565361,0.0230103075091785,"ZBTB7B/STAT6",2
"GO:0048675","axon extension","2/13","113/18860",0.0176991150442478,25.6773315180395,6.91005364040979,0.0026582167319602,0.0453668988921208,0.0230378783436551,"DSCAM/NLGN3",2
